category	bundle	laterality	autotrack_ids
Projection—Brainstem	Corticopontine tract occipital	Bilateral	ProjectionBrainstem_CorticopontineTractL_Occipital,ProjectionBrainstem_CorticopontineTractR_Occipital
Projection—Brainstem	Medial lemniscus	Bilateral	ProjectionBrainstem_MedialLemniscusL,ProjectionBrainstem_MedialLemniscusR
Projection—Brainstem	Dentato-rubro-thalamic tract	Crossed bilateral (L→R and R→L)	ProjectionBrainstem_DentatorubrothalamicTract-lr,ProjectionBrainstem_DentatorubrothalamicTract-rl
Projection—Brainstem	Non-decussating dentato-rubro-thalamic tract	Bilateral	ProjectionBrainstem_NonDecussatingDentatorubrothalamicTractL,ProjectionBrainstem_NonDecussatingDentatorubrothalamicTractR
Projection—Brainstem	Reticular tract	Bilateral	ProjectionBrainstem_ReticularTractL,ProjectionBrainstem_ReticularTractR
Projection—Brainstem	Medial forebrain bundle	Bilateral	ProjectionBrainstem_MedialForebrainBundleL,ProjectionBrainstem_MedialForebrainBundleR
Commissural	Anterior commissure frontal	Midline / unpaired	Commissure_AnteriorCommissure_Frontal
Commissural	Anterior commissure temporal	Midline / unpaired	Commissure_AnteriorCommissure_Temporal
Commissural	Anterior commissure occipital	Midline / unpaired	Commissure_AnteriorCommissure_Occipital
Commissural	Corpus callosum forceps minor	Midline / unpaired	Commissure_CorpusCallosum_ForcepsMinor
Commissural	Corpus callosum body	Midline / unpaired	Commissure_CorpusCallosum_Body
Commissural	Corpus callosum tapetum	Midline / unpaired	Commissure_CorpusCallosum_Tapetum
Commissural	Corpus callosum forceps major	Midline / unpaired	Commissure_CorpusCallosum_ForcepsMajor
Cerebellar	Cerebellum	Bilateral	Cerebellum_CerebellumL,Cerebellum_CerebellumR
Cerebellar	Inferior cerebellar peduncle	Bilateral	Cerebellum_InferiorCerebellarPeduncleL,Cerebellum_InferiorCerebellarPeduncleR
Cerebellar	Middle cerebellar peduncle	Midline / unpaired	Cerebellum_MiddleCerebellarPeduncle
Cerebellar	Superior cerebellar peduncle	Midline / unpaired	Cerebellum_SuperiorCerebellarPeduncle
Cerebellar	Vermis	Midline / unpaired	Cerebellum_Vermis
